Predicting gender 40 2 False relu 10 False 200 False 272 ConnType.STRUCT ConvStrategy.ENTIRE mean 8
Going for ./pytorch_data/hcp_4split_gender_struct_272_10_roi_norm_False
For  {'dropout': 0, 'lr': 0.005, 'weight_decay': 0.05}
2-0-Epoch: 001, Loss: 0.7013901 / 0.6911940, Auc: 0.5074 / 0.4968, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 024, Loss: 0.6421228 / 0.7205759, Auc: 0.5964 / 0.6052, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 025, Loss: 0.6409877 / 0.6836263, Auc: 0.6829 / 0.7023, Acc: 0.5313 / 0.5309, F1: 0.6559 / 0.6544 
2-0-Epoch: 026, Loss: 0.6437926 / 7.7651189, Auc: 0.7017 / 0.7265, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 027, Loss: 0.6404241 / 0.6866507, Auc: 0.7002 / 0.7192, Acc: 0.5158 / 0.5162, F1: 0.6528 / 0.6504 
2-0-Epoch: 028, Loss: 0.6437634 / 2.0013202, Auc: 0.6961 / 0.7220, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 029, Loss: 0.6429207 / 1.3925155, Auc: 0.6969 / 0.7196, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 030, Loss: 0.6415020 / 0.6660365, Auc: 0.6956 / 0.7230, Acc: 0.5909 / 0.6147, F1: 0.6677 / 0.6709 
2-0-Epoch: 031, Loss: 0.6455245 / 2.5577291, Auc: 0.7016 / 0.7243, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
2-0-Epoch: 032, Loss: 0.6437459 / 0.6492610, Auc: 0.6952 / 0.7189, Acc: 0.5817 / 0.5809, F1: 0.2144 / 0.2234 
2-0-Epoch: 033, Loss: 0.6442257 / 0.6453319, Auc: 0.6979 / 0.7210, Acc: 0.6237 / 0.6471, F1: 0.5269 / 0.5437 
2-0-Epoch: 034, Loss: 0.6443791 / 0.6644419, Auc: 0.6979 / 0.7205, Acc: 0.5519 / 0.5515, F1: 0.0514 / 0.0557 
2-0-Epoch: 035, Loss: 0.6476065 / 0.6332505, Auc: 0.6967 / 0.7208, Acc: 0.6337 / 0.6662, F1: 0.5607 / 0.5850 
2-0-Epoch: 036, Loss: 0.6430139 / 0.6957737, Auc: 0.6973 / 0.7223, Acc: 0.5464 / 0.5456, F1: 0.0238 / 0.0313 
2-0-Epoch: 037, Loss: 0.6433226 / 0.7197531, Auc: 0.6668 / 0.6707, Acc: 0.4588 / 0.4588, F1: 0.6290 / 0.6290 
2-0-Epoch: 038, Loss: 0.6457064 / 14.0939935, Auc: 0.6977 / 0.7231, Acc: 0.5412 / 0.5412, F1: 0.0000 / 0.0000 
